designation,ra,dec,j_m
19273502-0046403,291.895956,-0.777867,6.838
19280044-0054021,292.001867,-0.900606,6.929
19211207-0226427,290.300308,-2.445196,6.963
19212775-0228008,290.365663,-2.466914,6.419
19242633-0147421,291.109728,-1.795043,6.444
19245786-0206499,291.241106,-2.113863,6.003
19240619-0209385,291.025796,-2.160702,6.998
19244798-0213253,291.199936,-2.223703,6.984
19234703-0228288,290.945963,-2.474693,5.77
19242713-0221165,291.113072,-2.354606,6.528
19291999-0210351,292.333316,-2.176433,6.982
19311578-0206368,292.815785,-2.110229,6.524
19303381-0206524,292.640887,-2.114582,6.46
19283165-0230002,292.13188,-2.500078,6.972
19292400-0248267,292.350022,-2.807443,6.486
19290367-0248127,292.265311,-2.803546,6.819
19303207-0219376,292.633657,-2.327133,6.888
19272226-0225383,291.842783,-2.427316,6.581
19285281-0138147,292.220045,-1.637426,6.934
19261945-0149376,291.581077,-1.827115,6.276
19262144-0211360,291.589365,-2.193343,6.98
19091542-0541293,287.314274,-5.691495,6.777
19143442-0530156,288.643422,-5.504345,6.797
19133327-0539404,288.388666,-5.661243,6.512
19132164-0431162,288.3402,-4.521167,6.238
19133076-0432390,288.378172,-4.544192,6.44
19133591-0453573,288.399664,-4.899264,6.808
19134444-0448189,288.435184,-4.805261,6.98
19132494-0451256,288.353923,-4.857114,6.08
19125553-0504169,288.231385,-5.071371,5.651
19204592-0553243,290.191358,-5.89011,6.854
19172710-0516179,289.362932,-5.271657,6.629
19165918-0522252,289.246616,-5.373682,5.991
19171419-0520107,289.309125,-5.33632,6.79
19163371-0530423,289.140463,-5.51176,6.519
19175305-0508017,289.471043,-5.133814,6.9
19160539-0409091,289.022499,-4.152548,6.322
19193926-0408402,289.913599,-4.144527,6.594
19194466-0408566,289.936106,-4.149058,6.41
19190141-0355407,289.755914,-3.927974,6.676
11263372-5850497,171.640534,-58.847141,6.268
11264961-5852348,171.706749,-58.876339,6.47
11264930-5901002,171.705424,-59.016739,6.428
11303147-5829419,172.631162,-58.494995,6.909
11285041-5829463,172.210068,-58.496197,6.964
11281918-5831123,172.079931,-58.520103,6.517
11153572-5739033,168.898849,-57.650921,6.329
11164648-5749157,169.193682,-57.821037,6.688
11142436-5816546,168.601511,-58.281857,6.576
11233340-5753048,170.889194,-57.88467,6.411
11230849-5803382,170.785401,-58.060638,6.915
11211645-5807400,170.318581,-58.127789,6.854
11184859-5821564,169.702496,-58.365685,6.957
11161770-5804598,169.073751,-58.083298,6.959
11151608-5810527,168.817025,-58.18132,6.215
11165815-5808591,169.24231,-58.14975,6.111
11183175-5804118,169.632324,-58.069954,6.938
11243939-5837028,171.164129,-58.617462,6.515
11241995-5912273,171.083143,-59.207592,5.853
11241549-5849327,171.064559,-58.825775,6.406
11233643-5849056,170.901832,-58.818233,6.656
11193867-5911099,169.91116,-59.186108,6.811
11212464-5915116,170.3527,-59.253239,6.378
11203405-5851258,170.141877,-58.85717,5.894
11201210-5852357,170.050433,-58.876595,6.988
11200724-5852019,170.030206,-58.867222,6.537
11205249-5836015,170.218731,-58.600433,6.576
11203429-5835226,170.142901,-58.589638,6.312
11195571-5833492,169.982138,-58.563671,6.661
11154275-5721211,168.928138,-57.355869,6.133
11201018-5722420,170.042423,-57.378361,6.419
11174148-5714234,169.42287,-57.239838,6.432
11255272-5726301,171.469691,-57.441708,6.969
11251107-5733189,171.296138,-57.555252,6.751
11235805-5739279,170.99189,-57.657768,6.76
11240742-5703556,171.030934,-57.065453,6.593
11220404-5709279,170.516862,-57.157761,6.22
11333975-5803022,173.415663,-58.050613,6.611
11333309-5808313,173.387895,-58.142044,6.405
11372572-5718451,174.357193,-57.312553,6.839
11342048-5728296,173.58537,-57.474892,6.993
11301483-5802591,172.561801,-58.049763,6.608
11303993-5735030,172.666414,-57.584171,6.707
11321339-5746062,173.0558,-57.768398,6.902
11314669-5801223,172.944562,-58.022881,6.403
11364845-5740564,174.201891,-57.68235,6.563
11362248-5544206,174.093701,-55.739059,6.237
11350344-5607203,173.764357,-56.122318,5.379
11350689-5601587,173.778714,-56.03299,6.744
11374133-5600302,174.422228,-56.008396,6.658
11291767-5623567,172.323649,-56.399097,6.924
11323216-5609511,173.134026,-56.164215,5.932
11343844-5632431,173.660206,-56.545326,6.908
11361314-5640465,174.054755,-56.6796,6.878
11324210-5617378,173.175448,-56.293854,6.973
11360096-5706013,174.004014,-57.100376,5.982
11315468-5713259,172.977845,-57.223877,5.925
11270778-5636389,171.782443,-56.610809,6.783
11265811-5702218,171.742126,-57.039391,6.303
11293058-5654402,172.377457,-56.911171,6.387
11302744-5645151,172.614371,-56.754215,6.701
11283195-5651380,172.133138,-56.860561,6.919
11265859-5743176,171.744161,-57.721569,6.667
11301986-5728401,172.582756,-57.477829,6.28
11261913-5726189,171.579745,-57.438606,6.643
11280881-5726067,172.036724,-57.435215,6.487
11272984-5733429,171.874365,-57.561924,6.532
11305442-5653559,172.72676,-56.898876,6.706
11303501-5708019,172.645882,-57.133881,6.495
11304012-5706281,172.667185,-57.107826,6.204
11304462-5708274,172.685932,-57.140953,6.999
10404961-5212207,160.206742,-52.205772,6.46
10395789-5217028,159.991233,-52.28413,6.811
10414654-5307460,160.443952,-53.129452,6.262
10400108-5304505,160.004528,-53.080696,6.633
10422079-5258278,160.586639,-52.974415,6.664
10344636-5444037,158.69319,-54.734386,6.349
10421998-5353346,160.583261,-53.892948,6.847
10372242-5337023,159.343423,-53.617317,6.8
10355792-5356587,158.991343,-53.949661,6.794
10395545-5341184,159.981064,-53.688457,6.422
10371610-5351189,159.317114,-53.855263,6.719
10365711-5414172,159.237969,-54.238117,5.662
10534083-5311279,163.420159,-53.191097,6.109
10484335-5321289,162.18064,-53.358047,6.127
10475515-5359268,161.979808,-53.99078,6.463
10483741-5333134,162.155895,-53.553741,6.988
10492070-5351026,162.336274,-53.850723,6.195
10440917-5342059,161.038237,-53.701656,6.448
10441543-5302098,161.064313,-53.036072,5.894
10461090-5319149,161.545431,-53.320827,6.927
10463886-5315282,161.661929,-53.257847,6.279
10381151-5323207,159.547993,-53.389084,6.409
10385030-5327468,159.709611,-53.46302,6.729
10400867-5318309,160.036132,-53.30859,6.01
10404989-5322324,160.207894,-53.375671,5.524
10451643-5326263,161.318469,-53.440659,6.61
10314860-5711398,157.9525,-57.194408,6.41
10302241-5704387,157.59338,-57.077427,6.702
10392382-5654436,159.849283,-56.912136,6.796
10370941-5643575,159.289223,-56.732647,6.6
10314588-5619477,157.941179,-56.329933,6.847
10305872-5638308,157.74467,-56.641891,6.975
10344822-5630374,158.700919,-56.510399,6.986
10332094-5639201,158.337275,-56.655598,6.891
10342791-5649383,158.61631,-56.82732,6.596
10334709-5708401,158.446221,-57.144489,6.762
10341591-5658462,158.566297,-56.9795,6.117
15464527-3913094,236.688639,-39.21928,6.394
15471364-3904141,236.806865,-39.070606,6.309
15513427-3855183,237.892813,-38.921764,6.521
15474407-3849200,236.933646,-38.822235,6.268
15484438-3851241,237.184953,-38.856716,6.895
15504420-3859366,237.684182,-38.993511,6.437
16032464-3839046,240.852671,-38.651302,6.418
16004688-3905186,240.195353,-39.088501,6.196
16015153-3857232,240.464717,-38.956448,6.207
15594130-3743175,239.922114,-37.721542,6.635
15581322-3819215,239.555091,-38.322639,6.559
15585917-3808184,239.74658,-38.138447,6.394
15575749-3902123,239.48957,-39.036766,6.478
15585212-3859512,239.717193,-38.997559,6.791
15561251-3850385,239.052156,-38.844032,6.362
15571273-3904459,239.303081,-39.07943,6.403
15591090-3844550,239.795438,-38.748634,6.522
16013202-3812426,240.383423,-38.211845,6.489
15522901-3619322,238.120882,-36.325634,6.512
15534207-3618454,238.425292,-36.312634,6.393
15525209-3723549,238.217048,-37.398609,6.608
15543536-3646546,238.647366,-36.781841,6.574
15510380-3745398,237.765836,-37.761078,6.52
15520454-3747440,238.018923,-37.795574,6.293
15521307-3754069,238.054488,-37.901924,6.833
15545536-3908513,238.730708,-39.147598,6.523
15555411-3828125,238.975469,-38.470165,6.533
16214456-3746370,245.435683,-37.776947,6.048
16170275-3719585,244.261474,-37.332935,6.538
16185307-3649310,244.721139,-36.825291,6.832
16171503-3801381,244.31263,-38.027271,6.889
16201299-3720569,245.05415,-37.34914,6.501
16200353-3731449,245.014748,-37.529163,6.793
16174533-3745141,244.438904,-37.753918,6.811
16124923-3546498,243.205141,-35.780525,6.571
16125496-3530194,243.229034,-35.505402,6.402
16105935-3631187,242.74731,-36.521881,6.277
16140567-3545519,243.523649,-35.76442,6.493
16132302-3602182,243.345932,-36.03841,6.884
16134359-3553345,243.431658,-35.892933,6.275
16055723-3817071,241.488467,-38.285313,6.866
16121509-3830443,243.062888,-38.512314,6.948
16082321-3730210,242.09674,-37.505852,6.182
16100033-3755210,242.501403,-37.922527,6.912
16074435-3802240,241.934808,-38.040001,6.866
16094820-3803170,242.450872,-38.054733,6.624
16090084-3801441,242.25351,-38.028931,6.63
16092540-3703492,242.355871,-37.063679,6.597
16161015-3704121,244.042303,-37.070053,6.445
16131942-3648026,243.330941,-36.800747,5.634
16132081-3725457,243.336735,-37.429386,6.415
15595179-3239393,239.965815,-32.660934,6.165
16010492-3241435,240.270506,-32.695435,6.795
16000033-3344439,240.001393,-33.745541,6.174
16001852-3336084,240.077181,-33.60236,6.87
15593981-3315380,239.915898,-33.260571,5.872
15595504-3323073,239.979366,-33.38538,6.765
15585304-3329402,239.721027,-33.494503,6.293
15593701-3337023,239.904232,-33.617332,6.919
16054559-3325103,241.439984,-33.419529,6.526
16034849-3304144,240.952078,-33.070694,6.194
16041782-3312493,241.074257,-33.213715,5.431
16021524-3250275,240.563525,-32.840977,6.708
15592029-3300438,239.834569,-33.012184,6.792
16005075-3300239,240.211479,-33.006641,5.762
16000220-3259309,240.00918,-32.991936,6.38
15542149-3536168,238.589547,-35.604675,6.402
15563096-3519338,239.12902,-35.326069,6.893
15585087-3535182,239.711966,-35.588394,6.032
15564345-3425351,239.181054,-34.426422,6.415
16074471-3406323,241.93632,-34.10899,6.598
16025011-3523243,240.708793,-35.390087,6.149
16033574-3516465,240.898956,-35.27961,6.965
16072795-3458580,241.866459,-34.982788,6.513
16072871-3445111,241.869665,-34.753086,6.646
16074152-3454019,241.923027,-34.900536,6.82
16031068-3442419,240.794516,-34.711639,6.76
16034288-3441113,240.928681,-34.686485,6.356
15593595-3403311,239.899796,-34.058659,6.318
16013761-3404105,240.406742,-34.069603,6.917
16025068-3407498,240.711204,-34.130512,6.68
16094775-3506582,242.448995,-35.116192,6.57
16100103-3542218,242.504316,-35.706066,6.919
16100055-3538331,242.502328,-35.642544,6.029
16040216-3526278,241.009001,-35.441063,6.656
16052521-3539198,241.355075,-35.655518,6.592
16080438-3613546,242.01827,-36.23185,6.829
16065968-3552445,241.748672,-35.879051,6.883
16072621-3549591,241.859235,-35.833088,6.422
15571096-3543142,239.295689,-35.720615,6.419
15570506-3555393,239.271105,-35.927597,6.663
15593859-3700082,239.910828,-37.002289,6.326
15582123-3655273,239.588465,-36.924259,6.957
15594773-3550434,239.948915,-35.845394,6.451
16005462-3559411,240.227608,-35.994755,5.999
16004002-3604004,240.166781,-36.066792,6.68
16001198-3625306,240.049946,-36.425179,6.391
15591229-3628069,239.801233,-36.468594,6.814
15580687-3631377,239.52863,-36.527161,6.847
15571631-3610149,239.31798,-36.170811,6.74
15583386-3626313,239.641121,-36.442032,6.44
16034474-3836283,240.936452,-38.607887,6.618
16045885-3809119,241.245234,-38.153313,6.271
16080253-3704472,242.010575,-37.079784,6.886
16040954-3718266,241.039784,-37.307407,6.701
16055365-3707372,241.473546,-37.127007,6.182
16055276-3730109,241.469842,-37.503044,6.033
16015429-3751506,240.476241,-37.864059,6.803
14290304-5520012,217.26269,-55.333691,6.855
14371131-5539235,219.297156,-55.656536,6.935
14370223-5542058,219.259295,-55.701618,6.843
14343116-5540445,218.629843,-55.679035,6.359
14360204-5533439,219.008509,-55.562218,5.791
14323097-5527494,218.12907,-55.463745,6.783
14330975-5533249,218.290661,-55.556934,6.479
14362009-5557269,219.08374,-55.957474,6.045
14273992-5543108,216.916357,-55.719688,6.282
14290055-5608126,217.252302,-56.136848,5.593
14295836-5607524,217.493171,-56.131237,6.499
13210931-5207572,200.288808,-52.132572,6.662
13221628-5210586,200.567853,-52.182949,5.576
13234860-5218436,200.952531,-52.312138,6.569
13245173-5222445,201.215556,-52.379028,6.724
13243948-5219598,201.164519,-52.333302,6.615
13240787-5314054,201.032817,-53.234837,6.823
13254879-5259462,201.453312,-52.996193,6.468
13273921-5254119,201.913392,-52.903313,6.52
13232096-5238575,200.837342,-52.64933,6.653
13244291-5250117,201.178811,-52.836609,6.888
13284264-5429523,202.177683,-54.497871,6.326
13343436-5402487,203.643196,-54.046875,6.515
13303129-5355577,202.630407,-53.932716,5.795
13305026-5424008,202.709439,-54.40023,6.625
13271599-5342558,201.81663,-53.715511,6.987
13281276-5359094,202.053182,-53.985954,6.097
13282749-5404444,202.11455,-54.079025,6.839
13362076-5353425,204.086538,-53.895149,6.788
13373033-5339063,204.376402,-53.651764,6.712
13323018-5308370,203.125764,-53.143635,6.984
13280320-5330473,202.013337,-53.513165,5.988
13260340-5313137,201.514191,-53.220486,6.225
13295977-5315514,202.499052,-53.264294,6.785
13360941-5704589,204.03923,-57.083054,6.99
13312308-5655403,202.846193,-56.927887,6.593
13390641-5636140,204.776729,-56.603909,6.859
13370971-5649536,204.290497,-56.831566,6.859
13374763-5659580,204.448473,-56.999454,6.951
13385973-5639127,204.74891,-56.653542,6.707
13383344-5643509,204.639351,-56.730816,6.785
13301613-5623448,202.567212,-56.395802,6.977
13305906-5622447,202.746112,-56.379101,6.937
13312209-5636325,202.842048,-56.609039,6.545
13333718-5626218,203.404933,-56.439415,6.809
13342619-5634160,203.60913,-56.571136,6.056
13345985-5651346,203.749394,-56.859615,6.189
13501978-5551196,207.582431,-55.855453,5.926
13431194-5620135,205.799751,-56.337093,6.038
13310010-5539113,202.75045,-55.653164,5.47
13282375-5546476,202.098962,-55.779907,6.547
13290055-5545478,202.2523,-55.763298,6.726
13280928-5540199,202.038695,-55.672222,6.322
13311919-5551336,202.829968,-55.859341,5.963
13302669-5548384,202.611215,-55.81068,6.474
13340941-5543485,203.539231,-55.730156,6.522
13332323-5531503,203.346833,-55.53064,6.719
13332300-5542590,203.345868,-55.716404,6.069
13323545-5531070,203.147726,-55.518616,5.988
13304898-5525314,202.704112,-55.425415,6.893
13320055-5528552,203.002326,-55.48201,6.203
13362325-5551580,204.096885,-55.866131,6.262
13360501-5543023,204.020899,-55.717331,6.912
13371875-5538202,204.328152,-55.638969,6.959
13302592-5612346,202.608034,-56.209618,6.08
13350426-5614206,203.767783,-56.239082,6.974
13332683-5619546,203.361797,-56.331844,6.343
13342532-5600434,203.605518,-56.012077,6.716
13331615-5614393,203.317309,-56.244263,6.61
13392527-5617322,204.855295,-56.292278,6.211
13372746-5618070,204.36445,-56.301952,6.79
13385908-5607341,204.746208,-56.126141,6.559
13352878-5558090,203.869919,-55.969185,6.93
13360947-5601441,204.039466,-56.028931,6.836
13355621-5605427,203.984232,-56.095207,6.313
13365484-5609247,204.228521,-56.156883,6.405
14052547-5403144,211.356135,-54.054008,6.506
14000599-5437477,210.024978,-54.629917,6.899
14000077-5418214,210.00322,-54.305954,6.92
14023325-5359354,210.638559,-53.993191,5.938
14022744-5406468,210.614358,-54.113018,6.966
13461066-5319400,206.544433,-53.327805,6.682
13474187-5336520,206.924499,-53.614464,6.891
13512639-5401579,207.859974,-54.032764,6.892
13500490-5346388,207.520436,-53.77747,6.166
13501280-5524293,207.55337,-55.408161,6.649
13544973-5457352,208.707236,-54.959785,6.778
13572359-5500237,209.348325,-55.006599,6.803
13524267-5455460,208.177805,-54.929466,6.794
13522436-5517134,208.1015,-55.287056,6.298
13535253-5511334,208.468885,-55.192619,6.597
13522396-5507376,208.099835,-55.127136,6.971
13524976-5434452,208.207369,-54.579239,6.333
13501236-5422562,207.551539,-54.38229,6.989
13582200-5432122,209.591668,-54.536739,6.945
13570486-5438281,209.270271,-54.641159,6.846
13561996-5407562,209.0832,-54.132294,6.018
13530248-5424100,208.260353,-54.40279,6.437
13523533-5416431,208.147248,-54.278664,6.456
13532536-5416155,208.355691,-54.270988,6.218
13534914-5442226,208.454751,-54.706295,6.304
13483164-5536534,207.131868,-55.614834,6.749
13461449-5441000,206.560399,-54.683334,6.235
13443467-5522583,206.144469,-55.382877,6.736
13442929-5346094,206.122046,-53.769302,6.516
13402052-5359447,205.0855,-53.99575,6.934
13391713-5350432,204.821394,-53.84536,6.287
13415346-5412459,205.472783,-54.212772,6.322
10561588-2535058,164.066195,-25.584961,6.689
10575958-2818565,164.498271,-28.315708,6.189
10572399-2916507,164.349964,-29.280764,6.712
10581057-2914237,164.544063,-29.239944,5.618
10584180-2908150,164.674199,-29.137516,6.408
10591013-2909353,164.792244,-29.159824,6.749
10511664-2753094,162.819336,-27.885967,5.818
10555160-2749135,163.965002,-27.820423,5.837
10514626-2939087,162.942779,-29.652426,6.963
10530944-2822386,163.28934,-28.377394,6.34
10570365-2828350,164.26523,-28.476414,6.442
10401086-2508377,160.045268,-25.143806,6.496
10433683-2505131,160.903464,-25.086987,6.84
10404721-2647074,160.196714,-26.785402,6.144
10432502-2648047,160.854254,-26.801311,5.954
10491503-2648546,162.312643,-26.815184,6.643
10480557-2623542,162.023237,-26.398411,6.894
10414784-2551532,160.449357,-25.864794,6.6
10430955-2551588,160.789803,-25.866352,6.349
10404972-2944477,160.207188,-29.746603,6.169
10363537-2846184,159.147406,-28.771805,6.68
10432828-2903513,160.867853,-29.064264,6.176
10432174-2933039,160.840609,-29.551096,6.41
10485798-2906059,162.241587,-29.101643,6.508
10485764-2755041,162.240178,-27.917814,6.491
11093138-2435548,167.380771,-24.598579,6.948
11131249-2627543,168.302057,-26.465096,6.353
11103183-2559459,167.632664,-25.996098,6.744
11120116-2608119,168.004849,-26.136648,5.702
11115379-2516266,167.974166,-25.274069,6.099
11105598-2547001,167.733255,-25.783384,6.743
11063884-2843394,166.661872,-28.727612,6.693
11130782-2837360,168.282605,-28.626675,6.265
11055756-2717163,166.489871,-27.28788,5.742
11101788-2816125,167.574513,-28.270145,6.016
11080633-2816052,167.026382,-28.268127,6.922
11310350-2847428,172.764586,-28.795235,6.184
11192638-2828326,169.859957,-28.475735,5.699
11234515-2830247,170.938126,-28.506882,6.628
11233723-2827089,170.905136,-28.452494,6.25
11223553-2814511,170.648075,-28.247553,6.152
